,인구수,수두,수두 퍼센트,간염,간염 퍼센트,폐렴 ,폐렴 퍼센트
전국,51265238,18547,,26964,,31892,
서울,9360400,2426,0.26,3135,0.33,3487,0.37
부산,3278280,1101,0.36,1328,0.41,1686,0.51
대구,2366660,835,0.35,1511,0.64,2047,0.86
인천,3012997,899,0.3,1200,0.4,1263,0.42
광주,1412986,642,0.45,861,0.61,955,0.68
대전,1439889,533,0.37,671,0.47,687,0.48
울산,1099866,480,0.44,606,0.55,939,0.85
경기,13669469,5507,0.4,7505,0.55,8878,0.65
강원,1521877,486,0.32,893,0.59,939,0.62
충북,1591182,478,0.3,1130,0.71,1176,0.74
충남,2135171,745,0.35,994,0.47,992,0.47
전북,1744661,661,0.38,926,0.53,1262,0.72
전남,1793747,705,0.39,1469,0.82,1609,0.9
경북,2542072,981,0.39,1426,0.56,1929,0.76
경남,3235125,1595,0.49,2174,0.67,2348,0.73
제주,672068,254,0.38,918,1.37,1399,2.08
세종,388788,219,0.56,217,0.56,296,0.76
